date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:20	20763/20763	---MCZ	200	added ('OK')	text/html	etag:W/%225b337cb48ba1aecaba624e919d6050eb%22	https://www.khoahocpeter.online/detail/duthanhduoc/nodejs-super-du-thanh-duoc.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/duthanhduoc/nodejs-super-du-thanh-duoc.html	(from https://www.khoahocpeter.online/index.html)
23:53:21	4722/4722	---M--	200	added ('OK')	image/jpeg	etag:%228efee031d027dbd0fcd20d582a785a36%22	https://www.khoahocpeter.online/img/course-10.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-10.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:21	20723/20723	---MCZ	200	added ('OK')	text/html	etag:W/%22b9f95ad53f4ac370032ae41570e68920%22	https://www.khoahocpeter.online/detail/hoidanit/react-ultimate-react-co-ban-tu-z-toi-a.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/react-ultimate-react-co-ban-tu-z-toi-a.html	(from https://www.khoahocpeter.online/index.html)
23:53:21	30026/30026	---M--	200	added ('OK')	image/jpeg	etag:%220d61647be8f58013c2fb8d84f9bd80b9%22	https://www.khoahocpeter.online/img/course-14.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-14.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:22	18503/18503	---MCZ	200	added ('OK')	text/html	etag:W/%221615a0a9100c59cab336df0c305046d1%22	https://www.khoahocpeter.online/detail/hoidanit/react-pro-typescript-thuc-hanh-du-an-portfolio.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/react-pro-typescript-thuc-hanh-du-an-portfolio.html	(from https://www.khoahocpeter.online/index.html)
23:53:22	27034/27034	---M--	200	added ('OK')	image/jpeg	etag:%22783247baab86261effe5a9f705c8c6d9%22	https://www.khoahocpeter.online/img/course-30.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-30.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:23	15819/15819	---MCZ	200	added ('OK')	text/html	etag:W/%22c52afe9329ffc0104147f48e8109cd4c%22	https://www.khoahocpeter.online/detail/cybersoft/lap-trinh-back-end-java-cybersoft.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/cybersoft/lap-trinh-back-end-java-cybersoft.html	(from https://www.khoahocpeter.online/index.html)
23:53:23	21474/21474	---M--	200	added ('OK')	image/jpeg	etag:%22d01b6d5489d404a8fa7a83711c9be81a%22	https://www.khoahocpeter.online/img/course-27.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-27.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:23	15435/15435	---MCZ	200	added ('OK')	text/html	etag:W/%2215e23c0a8219f47da190ac1a816e7d71%22	https://www.khoahocpeter.online/detail/cybersoft/lap-trinh-back-end-nodejs-cybersoft.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/cybersoft/lap-trinh-back-end-nodejs-cybersoft.html	(from https://www.khoahocpeter.online/index.html)
23:53:24	64003/64003	---M--	200	added ('OK')	image/jpeg	etag:%2254939507c7d1929b5552642959c1ba0b%22	https://www.khoahocpeter.online/img/course-28.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-28.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:24	37522/37522	---M--	200	added ('OK')	image/jpeg	etag:%2233a4118fa385b8c59c65bc004f8b9ecf%22	https://www.khoahocpeter.online/img/28tech.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/28tech.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:24	71107/71107	---M--	200	added ('OK')	image/jpeg	etag:%220c288fc1502d41af2b02ed36e16065bd%22	https://www.khoahocpeter.online/img/f8.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/f8.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:25	53866/53866	---M--	200	added ('OK')	image/jpeg	etag:%22ca545055013218510e111350b0efefb7%22	https://www.khoahocpeter.online/img/hoidanit.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/hoidanit.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:25	138817/138817	---M--	200	added ('OK')	image/jpeg	etag:%22d2ebc518e98bafcc429ae780cd3d6c30%22	https://www.khoahocpeter.online/img/duthanhduoc.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/duthanhduoc.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:25	5652/5652	---M--	200	added ('OK')	image/jpeg	etag:%2210fbc2e640a5e6b7cefe0be043699d62%22	https://www.khoahocpeter.online/img/evondev.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/evondev.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:26	10603/10603	---M--	200	added ('OK')	image/jpeg	etag:%224fa371c4a46d52919d4cd42873881870%22	https://www.khoahocpeter.online/img/cybersoft.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/cybersoft.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:26	155876/155876	---M--	200	added ('OK')	image/jpeg	etag:%221261910d509e4197dfb577d3eecada26%22	https://www.khoahocpeter.online/img/holetex.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/holetex.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:26	6307/6307	---M--	200	added ('OK')	image/jpeg	etag:%22b718557753922e5c0775178b36c91a36%22	https://www.khoahocpeter.online/img/khanhnguyen.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/khanhnguyen.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:27	7025/7025	---M--	200	added ('OK')	image/jpeg	etag:%22c7aa40baba64818980891a3b17ab83b1%22	https://www.khoahocpeter.online/img/haunguyen.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/haunguyen.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:27	3530/3530	---M--	200	added ('OK')	image/jpeg	etag:%22f78e3029b946d105e9ff960b7b4c5613%22	https://www.khoahocpeter.online/img/200lab.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/200lab.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:27	6128/6128	---M--	200	added ('OK')	image/jpeg	etag:%227cef0abac8626d3122d1c3b253a6107e%22	https://www.khoahocpeter.online/img/mobile.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/mobile.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:28	20871/20871	---MCZ	200	added ('OK')	text/html	etag:W/%2262b02bd619b40145e869972ebe6b5c5d%22	https://www.khoahocpeter.online/tienbuiduc.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/tienbuiduc.html	(from https://www.khoahocpeter.online/index.html)
23:53:28	17290/17290	---MCZ	200	added ('OK')	text/html	etag:W/%226192b189bd37143931a48cfb656b3158%22	https://www.khoahocpeter.online/about.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/about.html	(from https://www.khoahocpeter.online/index.html)
23:53:29	11189/11189	---MCZ	200	added ('OK')	text/html	etag:W/%223f4db78315d632c51c156461c53812fc%22	https://www.khoahocpeter.online/contact.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/contact.html	(from https://www.khoahocpeter.online/index.html)
23:53:29	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	D:/clonewebkhoahoc/webkhoahoc/code.jquery.com/jquery-3.4.1.min.js	(from https://www.khoahocpeter.online/index.html)
23:53:30	80698/80698	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5334e475209f965b4862f3bedf32618%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	D:/clonewebkhoahoc/webkhoahoc/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	(from https://www.khoahocpeter.online/index.html)
23:53:30	4027/4027	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e836d548455e2eca85e182ce42a572c6%22	https://www.khoahocpeter.online/lib/easing/easing.min.js	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/lib/easing/easing.min.js	(from https://www.khoahocpeter.online/index.html)
